F8NFDCLM6IZ,-0.0091371986,-24.2770410989,-44.3220377064
PP4ODCM6IW2,-0.024106283,-24.3702382307,-41.0965985428
0PN6BA5YJJT,-0.0529530599,-24.4410939076,-38.0912266972
PXPJJTYCO25,-0.2392151952,-16.0503047369,-16.7724459329
4OOP0SY7UL2,-0.2747049109,-16.0698570717,-12.2014582905
ALGM9RRSGSN,-0.2683718778,-12.264070921,-6.8959727366
DD3V653UOBI,-0.1560618325,-12.1839722272,-11.6074341344
162QHSR5KDH,-0.082460008,-12.0764699995,-16.2517196585
YF48K0RE9R0,0.042832449,-11.7890425121,-22.3599882301
3659UJG8CU6,0.4937109066,24.901701732,0.6450206866
4Y7JR9MTWKT,0.5008052501,27.1702041445,0.7294686851
G8VDIVAW48G,0.4296828616,18.8543690816,9.5613015991
LI6BC5DVQQM,0.5678757029,27.1650303753,8.0946354597
D4AY953HC2F,0.6257910475,29.4143958709,4.3330631607
42H6VYLTX2W,0.6692652343,31.7890409254,0.7411774644
AWLUVHQDEE6,-0.3982961972,-24.5170359725,-16.1772449657
7001234VT8X,-0.4182301783,-24.4581253112,-11.5613548554
N2G75WAFSAH,0.4869604997,21.3840146852,0.25073298,
HNSMHYA8MIU,0.4679062506,21.3860987315,4.4554609146
M0U6U45T6MX,-0.2496011496,-20.4652152866,-22.626316563,
FBFQPFBXRHZ,-0.3160363952,-20.2818565239,-16.59355057,
PD4TVZ68IVQ,-0.3469589263,-20.2098389465,-11.9507916804
AJW9TE9JVAK,0.5075328181,13.7366725447,4.2954632734
KYPJ6GF640J,0.394003177,9.4562291675,4.2470528085
GYO55CJC98O,0.651718668,31.3550524446,-17.3341568625
O72HC9S9VXI,0.712611599,31.4977982146,-23.9944119617
IIR7VXKA4UO,0.7005086626,32.8886949565,-17.2957544848
YQF2005U3SZ,0.6965455713,32.9246913099,-19.7940078588
NJKAKTUIF4P,0.7290696965,33.0299647643,-23.9245893824
OZQEUK16QQB,0.6639451043,31.420832928,-19.8236276883
HTRN9FV34TN,0.6662612987,31.2397530249,-12.0261596928
HXYMYKAEZMZ,0.5398863034,25.2206142899,-10.664778159,
AIJNBU6UXIP,0.611264632,30.6502377512,-11.3694958872
AK3K53KUHEQ,0.5599747067,25.3099481764,-12.0861794942
KFNV03DJMF4,0.5552437802,22.6357470717,-24.0214818892
U4BUMT5JTAN,0.5421529462,22.5224919323,-19.9582824375
VEHVR34EMYI,0.5364835224,22.4474743171,-17.4535356275
939ZZL6MZ9X,0.5817238214,25.0466034769,-31.1709082704
LJFIBHYSUS2,0.0552892023,2.3069489404,-22.919679892,
NT1JV7TQ6L4,0.352950583,3.439348735,-41.7938523598
1Z1H4KG8SH4,0.2754205142,3.3854890807,-37.4750891173
GZFFXZ30URR,0.578679742,27.0132462213,-14.0797537218
SQBAI576KSH,0.5609020094,27.0225417692,-17.3750645717
FADS7QRL6OF,0.5678821818,27.0546798333,-19.8919600842
RRSNYOXQCEW,0.583893405,27.1593004818,-23.8662706644
GF8ETOSB44C,0.5596755041,25.6060629423,-23.9410725989
8EG5CH4V5XH,0.5619575739,25.5477569878,-19.9433341104
UI3JD76Z37J,0.5603855314,25.4941527811,-17.397551814,
ELRXBUIVYAA,0.596192841,25.426255976,-14.0776971613
26ZETEN6VOQ,0.5311182467,25.2434669657,-7.9748829993
0EKJMWVVPHY,0.525967352,22.3610798852,-14.1748675131
TGFO8IT6FH8,0.5792244629,23.3666944622,-26.1492589942
N3OY6XOOBGW,0.4430875302,19.2271179919,-31.3001705802
YX5M27EVZXB,0.5862681624,28.0254108024,-31.0704342825
KHOIXH68YSJ,0.6987964183,33.1189420003,-30.9968431848
5302XPG1KPV,0.687858272,31.6415324275,-28.2633392673
71T3EC72BH8,0.6156424877,27.9297605078,-28.3048154684
NEHFKM7G6ZC,0.2856541969,8.9749837645,-17.3985521791
B20YHU6UDR2,0.2872646114,8.8670131795,-14.2544979527
C5HBGJALAR2,0.1546376038,4.9516808181,-6.9558896203
IYPEAO3PKVF,0.0668720202,6.0470902612,-22.9054175164
X5EHNX9O98J,0.3342120887,6.1098592463,-36.6575761666
Y5AC2EMUTT0,0.2112904835,3.3125501917,-33.9575964358
UFKJ2KUC8KP,0.1405288263,-3.2068920305,-37.4827934849
6WYZWGF0P1A,0.3104978818,-4.5001284875,-43.7290466029
VS8W5BIK9ZT,0.2453856235,-4.61838178,-40.5502251457
OAMS9ZUZ1KA,0.170264005,1.9760729854,-33.9811374449
395UXH0MFMG,0.2472680589,2.0294351283,-37.497804565,
F12MFUKAEHD,0.2926714162,-0.4396507422,-41.7927253184
BSQVRX2AUPR,0.2477262275,-0.5024137876,-37.4799924771
LT7XWS5F0A7,-0.2792508502,-34.3044731718,-38.1178196019
PMXB1PTAMA5,-0.2115652754,-34.2631295534,-41.1502027628
WUJDWEJIPTO,-0.1563582002,-34.2340252359,-44.3824194624
IX94WC7OAGV,-0.0851581209,-34.1870096286,-47.4968190696
P72PC7B6U9P,0.0111615686,-24.1562631423,-47.4455752134
I2NMR7V8FV1,0.3518759489,-7.7984287833,-47.08977548,
XHKFV95608Z,0.3890962307,-4.4156775523,-47.03579229,
8M9RD8WA9NB,0.2401634613,-13.4019725129,-47.2535629252
STMAOX19RND,0.1233016565,-13.538872672,-40.7627274264
7WUS6SFVPRL,0.0682462233,-13.6122480909,-37.7656513124
BBNP08C11Q4,-0.4849162693,-33.1699242168,-25.2738729732
JHQZXCB38WA,-0.5542848098,-35.2148870085,-22.0273559086
8R5DHSX6TCT,-0.512678239,-37.2203003146,-25.3021447819
Q8AOWKCS3G8,0.1807358714,-8.0335878271,-37.6328186411
WV588T1U00J,0.2402541134,-7.8947788344,-40.6709596269
ZMXVVEY9NA1,0.2639784899,-7.8411786133,-43.8213483913
K2BK2Y5NJWF,0.3186814115,-9.8201574497,-47.1514310838
Q04PX1S9SJH,0.273896371,-9.8752434862,-43.8658990843
RNWUS8GMPTT,0.2396705042,-9.9393782911,-40.7226598577
IZPFED8AEY0,0.1527026099,-9.9969216363,-37.699113934,
0IKWX09PXJM,0.1797272453,-13.4341326359,-43.9147354552
1ZURJ21GF1R,0.1722858127,-16.795572945,-47.3274180862
4BRXQPX87X6,-0.0110481523,-17.0381010737,-37.7587955343
Q9ZZIJ5N8C6,0.0579672692,-16.938505126,-40.74830584,
FTD5DN3L2DR,0.0899957235,-16.8617944531,-43.9486969875
20PPE6GXZWO,0.0876922331,-20.3832392036,-47.3621628865
KPG0VC6BMRX,0.0140409377,-20.4644248867,-44.010821604,
LBNOY2B2S09,-0.0177136655,-20.5618701518,-40.8681553924
3GT8TAE0TAT,-0.048420135,-20.6747857311,-37.9065101158
RDU4P24QAU2,-0.0298918689,-27.9365329381,-47.4712859803
78INJB423Q3,-0.1273094983,-28.0599217122,-40.9494977252
510VC5QQH68,0.0502092395,-10.183809223,-29.5828600469
YUAKYOSWVQ6,-0.0642866257,-13.7399295272,-29.6394957518
D855X0102DK,-0.2777187,-24.3723220908,-32.4099939833
PRQMKBDZXMI,0.1632910066,-7.826522915,-26.1380906679
DIJP1X8WDY3,0.0752204994,4.0614940105,-24.9108252058
V0ZQCDO0BU9,-0.2099663831,-28.0899823391,-38.0603044348
3M2RSAWEFX2,-0.0996241467,-28.0054586629,-44.3319922224
4N1UDST8H51,-0.1662816737,-31.1716944106,-44.3716983132
VE1023DKXI8,-0.2035516151,-31.2177890258,-41.100925245,
HG0R41IDYVH,-0.5405669888,-33.2270483729,-22.6265949358
AR1V3BS1N83,-0.5338754409,-29.0663835281,-16.5455782744
G1K36A2U1XP,-0.5568419236,-29.1419175767,-12.2667338902
ZJ5DR6BQ2JF,-0.5746975425,-31.8836015923,-13.6512975595
H22JUMITM77,-0.645261258,-37.627170939,-16.6181346969
H2B4189HIO7,-0.5776938308,-35.241080471,-18.8774083501
LV72O8U75RD,-0.475192547,-29.0961983814,-22.5588739161
PN71H7KV78H,-0.6997556963,-32.068455009,0.2938826253
UMUX4V8XUHB,-0.5829547248,-27.1423726982,1.4904935988
W1C9ORM38TW,-0.4824282656,-37.1853380273,-30.7311873809
6ENMI5IFRUU,-0.1764318526,-17.4096771086,-29.708973195,
071DJ0X7I88,-0.4280880785,-33.1073022605,-30.8086231067
8L4EYKOCTMG,-0.3392418661,-27.921459406,-30.7172713572
3JLHKZR6T2O,-0.298588621,-24.392484946,-29.7674835714
5YG9W0E0JT1,-0.175201646,-20.6140845604,-32.3491983261
BUQQSX1W54Z,-0.1097300784,-17.463533723,-32.2836424649
PZ88NSX24OS,-0.0391498018,-13.6886820681,-32.2448390747
PGQ4UXM5650,0.039505113,-10.0956525037,-32.1776129413
4YVXE3AJSXD,0.1498823234,-3.3472366638,-34.0276466303
DZ2MIML8L3M,-0.0252468324,-13.6823649691,-33.8858283801
AJQR20WGV95,-0.0987047108,-17.4985963002,-33.9265505682
LG8UZJIR6IM,-0.1240173688,-20.7292007204,-33.9965309324
3DO0C1E9HXW,-0.3804541554,-33.0654129508,-33.3122400053
A4Q8KK98PMT,-0.4141201448,-37.1166557288,-34.6164722841
8D0TTJXGHOR,-0.4639480145,-40.2980261136,-31.7680655054
U9YRVY9I6JV,-0.515033398,-40.3193561445,-28.2411091685
61L7W0XYX0X,-0.5450781008,-40.3507386417,-25.3298420058
U9BL95GZNE8,-0.6135545448,-40.3839853993,-22.0149668779
ATUOB8ZPO4F,-0.7046444515,-40.3757876181,-16.616709611,
J31TNOO4TD9,-0.7306692256,-40.3791477305,-13.6933284111
Y1DGK9LS4MH,-0.7750382709,-40.2370901842,-10.8161947436
NWAQ8XT86RO,-0.6530341667,-35.1625190528,-10.7755423148
PYJCJ807EZS,-0.6025000667,-31.9123112165,-10.7602827624
GPFPYUWPR3A,-0.6087975038,-31.9520754885,-9.1951995659
529UOW7H9VD,-0.6337069506,-35.2109572994,-9.3175952039
3WZ2W10OE31,-0.6274180534,-31.9299875732,-6.6981704486
8SW1BH06ATS,-0.6966819473,-35.2208439112,-6.7596604528
61A9UQH2GMB,-0.6102912392,-35.141882878,-13.6941938544
X72RMH3CUWL,-0.7373957848,-35.2409865293,-5.3586586654
O9W8VESKZD1,-0.8460781558,-39.5286552702,-5.3475370408
OPDVXXJD9YJ,-0.856241447,-40.074386491,-6.9912718469
E2IGB2Y94NY,-0.4465478541,-23.1028876393,-0.3238551076
DRLZDYVAL5R,-0.2432616314,-12.1140167177,3.9395900326
61SM5WOVL94,-0.0398667315,-4.1240112346,-6.8263167741
9K14NASSXQ9,-0.0038262874,-4.034786359,-11.4029958005
XDXVE96LS0X,0.0296636431,-3.9941419928,-15.9889835076
VH8BCBWE5C0,0.0768129808,-3.9700718932,-22.1089868814
YHZE65LHGRW,0.1638677425,-3.9442150387,-24.9586080732
6G8804M0I2T,0.6055662872,30.6361005697,-5.6431314937
0PLCQN5DLTN,-0.6658804831,-31.9777107507,-5.3245603608
S8OW4J3MANV,0.296025776,10.8095125504,-6.9062932873
OPKR38SJT79,0.169480946,6.4040371159,-6.3834928249
W52IVSDE6L3,0.0429024612,2.6026841021,-4.6374129188
CPMBVASCA2A,0.1987719583,8.9589662269,-5.8522368796
T949JC0KAL5,0.5070037263,25.2138863593,-5.0527470563
IYX9NVXMS08,0.5466413945,27.1393910801,4.515768095,
DX7UNS8A50B,-0.2509581724,-12.0162310393,-0.3881347888
0R2DHG1WXF5,-0.3470845465,-15.880038133,3.916188801,
I3SV3YGRD85,-0.3315563606,-15.8275275319,-0.3925999405
O9ZA104E69R,-0.3699301813,-24.619987219,-22.3228444063
EMFU5C15JSU,-0.3492545905,-27.1930196851,-25.471000246,
I38BBKLWELB,-0.1696824992,-20.3068993775,-25.1523345478
NME1Z2QF2OJ,-0.1690636397,-16.0356408212,-23.0368936418
2HLB7NUV3U2,-0.0628557925,-16.024643701,-25.0775734326
9RUUPKG2S7R,0.0881034356,-10.7787451751,-25.0095644429
Q6RPFSU2GTP,0.1029242733,-7.8619059841,-22.0524909571
WB2214YU71Q,0.0260332442,-7.9977271492,-15.9348696214
GPUOUEKQ7XE,-0.0361623908,-8.1289416581,-11.3884112869
L03T290ITAM,-0.4447453844,-24.3494305852,-7.1934404157
ZYIH0G3G5UW,-0.4375916083,-19.7081104498,-0.2573203543
8TE2PRQ2E18,-0.3301001009,-16.0912677515,-7.4356654236
ELG7ME1QJTX,-0.3976137665,-20.244212218,-7.3780761938
41E6XHFV63G,-0.3960961229,-19.7178537967,4.0070993323
QG3NFJNT2IK,-0.0540187907,-5.734319802,0.1475416475
5CTNWNZBVAW,-0.1692052665,-8.6031466173,4.3721968333
4D20TDWFFGM,-0.1334940684,-8.6286531589,0.0499273767
3U2IXDEV0PC,-0.1349281958,-8.1490626235,-6.8185689181
N63W8NPAYC3,-0.4998113975,-23.1458258965,4.0538877453
O1H3U3XWUG7,-0.5338999805,-23.1851341583,5.5692567834
AH8IP5CR05X,-0.4091399966,-19.6938248399,5.6506906403
P0HUOABALYF,-0.3339585741,-15.948635271,5.7032291132
SUOCG3953F8,-0.2472673502,-12.1710621059,5.8503010102
RDX1ZPONVGP,-0.1643168151,-8.5808247249,5.9259724287
T3GZ3EIWE84,-0.0785939814,-6.0412609536,5.9737436547
TA7DPLXURM8,0.4838651554,17.542406468,4.2933085864
SEGE7YROA5G,0.5375546774,17.5738701572,0.118808476,
U4T9VK2YQBJ,0.4698738762,21.217884344,9.5884811357
ERV4CIF9L1T,0.5114619376,24.8673861134,4.426304841,
NC7G5BAF3B0,0.1406938477,2.6336131831,-1.4110483243
H56YVBT7OOA,0.2456346476,6.4799004135,-1.3772196171
YIM3ZV7NTMB,0.4446792214,13.7599401678,0.1714296542
1UI5Q0K894X,0.0975382216,0.0367718129,4.3937417773
E9CFVXJKS6O,0.2489257098,11.0180453321,-22.6931149023
3AUNIOMXJX2,0.2677721343,11.0103193559,-17.4047354808
ZVPEK0F7LSB,0.2820381566,10.9963293347,-11.4158538697
SJPZB75IES7,0.3663629702,15.5012441717,-6.7900434123
H0V3P4BCAYD,0.3283672989,13.913542926,-6.8162468189
7QG52A7LXHQ,0.4127718888,17.4901707205,-5.0156964434
G238P36I09K,0.3527235296,14.5648105217,-14.4594428878
DQ63BDEIV9F,0.3652993625,14.6112445647,-17.4838142814
69BWWZCAEUQ,0.4252045326,14.6993689611,-22.8138108367
FWA6OH1CQ0J,0.3625749446,12.6393933847,-28.7736075352
A6HK8WMFZLM,0.3299954695,12.6699768068,-30.9997822367
GM2J6YEMV9J,0.2471453115,9.0349752275,-31.0686271715
UOD0AQQKV4K,0.1915794719,4.0306512341,-14.4153024159
M50HV4DTO3U,0.1361264252,1.008019235,-17.7167950273
095ZOC8BF5F,0.1644901047,4.7936159397,-17.57030617,
CNL1MX9UQKW,0.3130398721,9.0432435115,-22.7468514036
8HNC8R9Y1K3,0.298793776,8.9703592565,-28.7862388954
MY0D9FX5BHD,0.0770362422,-8.0342384634,-29.8038415119
WDYHZOD53BK,0.1474012151,-4.8047936686,-26.7233259233
Y130XGXHA08,0.0383336758,-1.7772854978,-7.0933244694
AJ5U3LR0UUZ,0.0755946094,-1.7594470484,-11.1416502951
3WFLI673FKD,0.0851198695,-1.7035176355,-14.5379021662
HOZ19PTS8H0,0.1014926152,-1.6745467721,-17.6878603546
7S2MYTR4H5A,0.1226972552,-1.6347533498,-22.959493324,
3095X307CEZ,0.1489216642,-1.5947252047,-24.9743416762
Z1TJ1DJ3QRQ,0.1759483035,-0.5562127063,-33.9730581343
NYI5Q5ENVYL,0.0076312669,-2.804014933,0.090785086,
SWY9ZX6EVF8,0.0107836573,-2.7774428782,6.0460642626
O3Q87W06LML,0.0887724567,0.0519651196,0.0663901021